student_id,course_id,grade
EHIST9748,EHIST88,89
EHIST9748,EHIST14,100
EHIST9748,EHIST81,39
EHIST9748,EHIST55,68
EHIST9748,EHIST92,26
EHIST9748,EHIST75,91
EHIST9748,EHIST91,58
EHIST9748,EHIST98,76
EHIST9748,EHIST22,66
EHIST9748,EHIST53,90
EHIST5162,EHIST88,38
EHIST5162,EHIST14,97
EHIST5162,EHIST81,90
EHIST5162,EHIST55,30
EHIST5162,EHIST92,59
EHIST5162,EHIST75,20
EHIST5162,EHIST91,68
EHIST5162,EHIST98,21
EHIST5162,EHIST22,99
EHIST5162,EHIST53,88
EHIST4552,EHIST88,81
EHIST4552,EHIST14,57
EHIST4552,EHIST81,34
EHIST4552,EHIST55,59
EHIST4552,EHIST92,40
EHIST4552,EHIST75,81
EHIST4552,EHIST91,71
EHIST4552,EHIST98,86
EHIST4552,EHIST22,67
EHIST4552,EHIST53,97
EHIST6433,EHIST88,21
EHIST6433,EHIST14,33
EHIST6433,EHIST81,30
EHIST6433,EHIST55,88
EHIST6433,EHIST92,77
EHIST6433,EHIST75,43
EHIST6433,EHIST91,58
EHIST6433,EHIST98,73
EHIST6433,EHIST22,94
EHIST6433,EHIST53,37
EHIST5143,EHIST88,25
EHIST5143,EHIST14,37
EHIST5143,EHIST81,22
EHIST5143,EHIST55,47
EHIST5143,EHIST92,61
EHIST5143,EHIST75,21
EHIST5143,EHIST91,75
EHIST5143,EHIST98,49
EHIST5143,EHIST22,34
EHIST5143,EHIST53,95
EHIST8546,EHIST88,20
EHIST8546,EHIST14,62
EHIST8546,EHIST81,65
EHIST8546,EHIST55,20
EHIST8546,EHIST92,75
EHIST8546,EHIST75,64
EHIST8546,EHIST91,94
EHIST8546,EHIST98,28
EHIST8546,EHIST22,44
EHIST8546,EHIST53,36
EHIST6517,EHIST88,83
EHIST6517,EHIST14,54
EHIST6517,EHIST81,59
EHIST6517,EHIST55,93
EHIST6517,EHIST92,40
EHIST6517,EHIST75,99
EHIST6517,EHIST91,72
EHIST6517,EHIST98,55
EHIST6517,EHIST22,40
EHIST6517,EHIST53,52
EHIST8138,EHIST88,53
EHIST8138,EHIST14,69
EHIST8138,EHIST81,52
EHIST8138,EHIST55,75
EHIST8138,EHIST92,21
EHIST8138,EHIST75,59
EHIST8138,EHIST91,66
EHIST8138,EHIST98,70
EHIST8138,EHIST22,38
EHIST8138,EHIST53,77
EHIST1549,EHIST88,33
EHIST1549,EHIST14,33
EHIST1549,EHIST81,40
EHIST1549,EHIST55,50
EHIST1549,EHIST92,82
EHIST1549,EHIST75,55
EHIST1549,EHIST91,50
EHIST1549,EHIST98,27
EHIST1549,EHIST22,60
EHIST1549,EHIST53,72
EHIST9493,EHIST88,20
EHIST9493,EHIST14,51
EHIST9493,EHIST81,80
EHIST9493,EHIST55,45
EHIST9493,EHIST92,64
EHIST9493,EHIST75,42
EHIST9493,EHIST91,68
EHIST9493,EHIST98,42
EHIST9493,EHIST22,43
EHIST9493,EHIST53,36
EHIST3279,EHIST88,96
EHIST3279,EHIST14,82
EHIST3279,EHIST81,65
EHIST3279,EHIST55,58
EHIST3279,EHIST92,45
EHIST3279,EHIST75,33
EHIST3279,EHIST91,88
EHIST3279,EHIST98,43
EHIST3279,EHIST22,72
EHIST3279,EHIST53,22
EHIST7258,EHIST88,49
EHIST7258,EHIST14,66
EHIST7258,EHIST81,70
EHIST7258,EHIST55,57
EHIST7258,EHIST92,88
EHIST7258,EHIST75,59
EHIST7258,EHIST91,34
EHIST7258,EHIST98,52
EHIST7258,EHIST22,68
EHIST7258,EHIST53,51
EHIST6172,EHIST88,33
EHIST6172,EHIST14,54
EHIST6172,EHIST81,88
EHIST6172,EHIST55,24
EHIST6172,EHIST92,56
EHIST6172,EHIST75,100
EHIST6172,EHIST91,45
EHIST6172,EHIST98,33
EHIST6172,EHIST22,57
EHIST6172,EHIST53,52
EHIST4699,EHIST88,46
EHIST4699,EHIST14,45
EHIST4699,EHIST81,76
EHIST4699,EHIST55,76
EHIST4699,EHIST92,58
EHIST4699,EHIST75,93
EHIST4699,EHIST91,71
EHIST4699,EHIST98,72
EHIST4699,EHIST22,34
EHIST4699,EHIST53,90
EHIST1473,EHIST88,51
EHIST1473,EHIST14,50
EHIST1473,EHIST81,91
EHIST1473,EHIST55,87
EHIST1473,EHIST92,60
EHIST1473,EHIST75,61
EHIST1473,EHIST91,38
EHIST1473,EHIST98,36
EHIST1473,EHIST22,34
EHIST1473,EHIST53,63
EHIST3507,EHIST88,80
EHIST3507,EHIST14,63
EHIST3507,EHIST81,78
EHIST3507,EHIST55,77
EHIST3507,EHIST92,50
EHIST3507,EHIST75,84
EHIST3507,EHIST91,56
EHIST3507,EHIST98,43
EHIST3507,EHIST22,39
EHIST3507,EHIST53,55
EHIST7344,EHIST88,97
EHIST7344,EHIST14,62
EHIST7344,EHIST81,27
EHIST7344,EHIST55,96
EHIST7344,EHIST92,37
EHIST7344,EHIST75,46
EHIST7344,EHIST91,92
EHIST7344,EHIST98,54
EHIST7344,EHIST22,67
EHIST7344,EHIST53,84
EHIST8454,EHIST88,39
EHIST8454,EHIST14,25
EHIST8454,EHIST81,41
EHIST8454,EHIST55,52
EHIST8454,EHIST92,81
EHIST8454,EHIST75,73
EHIST8454,EHIST91,29
EHIST8454,EHIST98,74
EHIST8454,EHIST22,20
EHIST8454,EHIST53,45
EHIST9834,EHIST88,47
EHIST9834,EHIST14,20
EHIST9834,EHIST81,90
EHIST9834,EHIST55,96
EHIST9834,EHIST92,39
EHIST9834,EHIST75,83
EHIST9834,EHIST91,64
EHIST9834,EHIST98,59
EHIST9834,EHIST22,48
EHIST9834,EHIST53,38
EHIST7885,EHIST88,31
EHIST7885,EHIST14,65
EHIST7885,EHIST81,92
EHIST7885,EHIST55,53
EHIST7885,EHIST92,94
EHIST7885,EHIST75,73
EHIST7885,EHIST91,84
EHIST7885,EHIST98,50
EHIST7885,EHIST22,84
EHIST7885,EHIST53,85
EHIST9881,EHIST88,33
EHIST9881,EHIST14,79
EHIST9881,EHIST81,60
EHIST9881,EHIST55,90
EHIST9881,EHIST92,28
EHIST9881,EHIST75,98
EHIST9881,EHIST91,24
EHIST9881,EHIST98,23
EHIST9881,EHIST22,40
EHIST9881,EHIST53,67
EHIST3046,EHIST88,37
EHIST3046,EHIST14,35
EHIST3046,EHIST81,94
EHIST3046,EHIST55,67
EHIST3046,EHIST92,27
EHIST3046,EHIST75,53
EHIST3046,EHIST91,74
EHIST3046,EHIST98,85
EHIST3046,EHIST22,41
EHIST3046,EHIST53,38
EHIST2784,EHIST88,48
EHIST2784,EHIST14,48
EHIST2784,EHIST81,74
EHIST2784,EHIST55,95
EHIST2784,EHIST92,62
EHIST2784,EHIST75,87
EHIST2784,EHIST91,96
EHIST2784,EHIST98,24
EHIST2784,EHIST22,59
EHIST2784,EHIST53,38
EHIST7096,EHIST88,73
EHIST7096,EHIST14,97
EHIST7096,EHIST81,25
EHIST7096,EHIST55,23
EHIST7096,EHIST92,64
EHIST7096,EHIST75,61
EHIST7096,EHIST91,76
EHIST7096,EHIST98,59
EHIST7096,EHIST22,42
EHIST7096,EHIST53,71
EHIST7859,EHIST88,74
EHIST7859,EHIST14,60
EHIST7859,EHIST81,39
EHIST7859,EHIST55,58
EHIST7859,EHIST92,57
EHIST7859,EHIST75,26
EHIST7859,EHIST91,53
EHIST7859,EHIST98,65
EHIST7859,EHIST22,36
EHIST7859,EHIST53,35
EHIST5958,EHIST88,54
EHIST5958,EHIST14,24
EHIST5958,EHIST81,98
EHIST5958,EHIST55,42
EHIST5958,EHIST92,51
EHIST5958,EHIST75,100
EHIST5958,EHIST91,98
EHIST5958,EHIST98,45
EHIST5958,EHIST22,71
EHIST5958,EHIST53,100
EHIST2522,EHIST88,38
EHIST2522,EHIST14,61
EHIST2522,EHIST81,71
EHIST2522,EHIST55,48
EHIST2522,EHIST92,99
EHIST2522,EHIST75,22
EHIST2522,EHIST91,84
EHIST2522,EHIST98,37
EHIST2522,EHIST22,57
EHIST2522,EHIST53,57
EHIST1044,EHIST88,61
EHIST1044,EHIST14,99
EHIST1044,EHIST81,47
EHIST1044,EHIST55,33
EHIST1044,EHIST92,81
EHIST1044,EHIST75,58
EHIST1044,EHIST91,74
EHIST1044,EHIST98,89
EHIST1044,EHIST22,30
EHIST1044,EHIST53,98
EHIST3491,EHIST88,69
EHIST3491,EHIST14,79
EHIST3491,EHIST81,55
EHIST3491,EHIST55,33
EHIST3491,EHIST92,32
EHIST3491,EHIST75,77
EHIST3491,EHIST91,35
EHIST3491,EHIST98,25
EHIST3491,EHIST22,21
EHIST3491,EHIST53,69
EHIST8375,EHIST88,87
EHIST8375,EHIST14,58
EHIST8375,EHIST81,81
EHIST8375,EHIST55,93
EHIST8375,EHIST92,56
EHIST8375,EHIST75,53
EHIST8375,EHIST91,84
EHIST8375,EHIST98,42
EHIST8375,EHIST22,72
EHIST8375,EHIST53,97
EHIST7599,EHIST88,70
EHIST7599,EHIST14,91
EHIST7599,EHIST81,99
EHIST7599,EHIST55,55
EHIST7599,EHIST92,88
EHIST7599,EHIST75,58
EHIST7599,EHIST91,38
EHIST7599,EHIST98,85
EHIST7599,EHIST22,37
EHIST7599,EHIST53,82
EHIST5534,EHIST88,95
EHIST5534,EHIST14,21
EHIST5534,EHIST81,86
EHIST5534,EHIST55,32
EHIST5534,EHIST92,40
EHIST5534,EHIST75,71
EHIST5534,EHIST91,85
EHIST5534,EHIST98,37
EHIST5534,EHIST22,60
EHIST5534,EHIST53,85
EHIST7908,EHIST88,83
EHIST7908,EHIST14,86
EHIST7908,EHIST81,25
EHIST7908,EHIST55,33
EHIST7908,EHIST92,30
EHIST7908,EHIST75,22
EHIST7908,EHIST91,72
EHIST7908,EHIST98,77
EHIST7908,EHIST22,88
EHIST7908,EHIST53,50
EHIST1217,EHIST88,42
EHIST1217,EHIST14,95
EHIST1217,EHIST81,70
EHIST1217,EHIST55,61
EHIST1217,EHIST92,58
EHIST1217,EHIST75,34
EHIST1217,EHIST91,53
EHIST1217,EHIST98,98
EHIST1217,EHIST22,21
EHIST1217,EHIST53,97
EHIST5865,EHIST88,37
EHIST5865,EHIST14,91
EHIST5865,EHIST81,28
EHIST5865,EHIST55,41
EHIST5865,EHIST92,34
EHIST5865,EHIST75,67
EHIST5865,EHIST91,63
EHIST5865,EHIST98,32
EHIST5865,EHIST22,90
EHIST5865,EHIST53,63
EHIST4461,EHIST88,97
EHIST4461,EHIST14,26
EHIST4461,EHIST81,71
EHIST4461,EHIST55,53
EHIST4461,EHIST92,77
EHIST4461,EHIST75,33
