student_id,course_id,grade
EHIST6342,EHIST84,66
EHIST6342,EHIST82,47
EHIST6342,EHIST48,96
EHIST6342,EHIST80,53
EHIST6342,EHIST55,76
EHIST6342,EHIST67,85
EHIST6342,EHIST52,100
EHIST6342,EHIST56,53
EHIST6342,EHIST98,53
EHIST6342,EHIST57,32
EHIST1314,EHIST84,63
EHIST1314,EHIST82,61
EHIST1314,EHIST48,24
EHIST1314,EHIST80,55
EHIST1314,EHIST55,78
EHIST1314,EHIST67,69
EHIST1314,EHIST52,93
EHIST1314,EHIST56,87
EHIST1314,EHIST98,66
EHIST1314,EHIST57,20
EHIST6953,EHIST84,38
EHIST6953,EHIST82,80
EHIST6953,EHIST48,82
EHIST6953,EHIST80,54
EHIST6953,EHIST55,58
EHIST6953,EHIST67,28
EHIST6953,EHIST52,71
EHIST6953,EHIST56,33
EHIST6953,EHIST98,88
EHIST6953,EHIST57,49
EHIST1227,EHIST84,89
EHIST1227,EHIST82,75
EHIST1227,EHIST48,62
EHIST1227,EHIST80,65
EHIST1227,EHIST55,96
EHIST1227,EHIST67,89
EHIST1227,EHIST52,44
EHIST1227,EHIST56,21
EHIST1227,EHIST98,57
EHIST1227,EHIST57,59
EHIST7875,EHIST84,62
EHIST7875,EHIST82,88
EHIST7875,EHIST48,28
EHIST7875,EHIST80,22
EHIST7875,EHIST55,39
EHIST7875,EHIST67,27
EHIST7875,EHIST52,53
EHIST7875,EHIST56,97
EHIST7875,EHIST98,81
EHIST7875,EHIST57,52
EHIST6361,EHIST84,37
EHIST6361,EHIST82,59
EHIST6361,EHIST48,47
EHIST6361,EHIST80,45
EHIST6361,EHIST55,78
EHIST6361,EHIST67,42
EHIST6361,EHIST52,27
EHIST6361,EHIST56,39
EHIST6361,EHIST98,59
EHIST6361,EHIST57,94
EHIST4940,EHIST84,70
EHIST4940,EHIST82,89
EHIST4940,EHIST48,67
EHIST4940,EHIST80,34
EHIST4940,EHIST55,83
EHIST4940,EHIST67,31
EHIST4940,EHIST52,45
EHIST4940,EHIST56,20
EHIST4940,EHIST98,97
EHIST4940,EHIST57,48
EHIST6957,EHIST84,64
EHIST6957,EHIST82,76
EHIST6957,EHIST48,100
EHIST6957,EHIST80,23
EHIST6957,EHIST55,64
EHIST6957,EHIST67,28
EHIST6957,EHIST52,53
EHIST6957,EHIST56,55
EHIST6957,EHIST98,73
EHIST6957,EHIST57,75
EHIST4275,EHIST84,82
EHIST4275,EHIST82,64
EHIST4275,EHIST48,60
EHIST4275,EHIST80,48
EHIST4275,EHIST55,31
EHIST4275,EHIST67,42
EHIST4275,EHIST52,60
EHIST4275,EHIST56,42
EHIST4275,EHIST98,70
EHIST4275,EHIST57,74
EHIST3340,EHIST84,53
EHIST3340,EHIST82,42
EHIST3340,EHIST48,93
EHIST3340,EHIST80,37
EHIST3340,EHIST55,68
EHIST3340,EHIST67,91
EHIST3340,EHIST52,47
EHIST3340,EHIST56,77
EHIST3340,EHIST98,39
EHIST3340,EHIST57,37
EHIST9576,EHIST84,81
EHIST9576,EHIST82,27
EHIST9576,EHIST48,30
EHIST9576,EHIST80,40
EHIST9576,EHIST55,50
EHIST9576,EHIST67,84
EHIST9576,EHIST52,92
EHIST9576,EHIST56,97
EHIST9576,EHIST98,38
EHIST9576,EHIST57,41
EHIST9218,EHIST84,66
EHIST9218,EHIST82,40
EHIST9218,EHIST48,86
EHIST9218,EHIST80,87
EHIST9218,EHIST55,36
EHIST9218,EHIST67,94
EHIST9218,EHIST52,85
EHIST9218,EHIST56,60
EHIST9218,EHIST98,89
EHIST9218,EHIST57,51
EHIST5831,EHIST84,79
EHIST5831,EHIST82,50
EHIST5831,EHIST48,40
EHIST5831,EHIST80,58
EHIST5831,EHIST55,78
EHIST5831,EHIST67,55
EHIST5831,EHIST52,86
EHIST5831,EHIST56,42
EHIST5831,EHIST98,99
EHIST5831,EHIST57,75
EHIST5003,EHIST84,30
EHIST5003,EHIST82,82
EHIST5003,EHIST48,31
EHIST5003,EHIST80,65
EHIST5003,EHIST55,92
EHIST5003,EHIST67,68
EHIST5003,EHIST52,43
EHIST5003,EHIST56,24
EHIST5003,EHIST98,86
EHIST5003,EHIST57,53
EHIST3551,EHIST84,86
EHIST3551,EHIST82,80
EHIST3551,EHIST48,65
EHIST3551,EHIST80,100
EHIST3551,EHIST55,40
EHIST3551,EHIST67,22
EHIST3551,EHIST52,36
EHIST3551,EHIST56,62
EHIST3551,EHIST98,52
EHIST3551,EHIST57,26
EHIST2911,EHIST84,31
EHIST2911,EHIST82,37
EHIST2911,EHIST48,58
EHIST2911,EHIST80,63
EHIST2911,EHIST55,58
EHIST2911,EHIST67,63
EHIST2911,EHIST52,50
EHIST2911,EHIST56,48
EHIST2911,EHIST98,100
EHIST2911,EHIST57,28
EHIST1307,EHIST84,96
EHIST1307,EHIST82,64
EHIST1307,EHIST48,39
EHIST1307,EHIST80,77
EHIST1307,EHIST55,92
EHIST1307,EHIST67,100
